10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
9817.00.70.00,"ANIMALS, GAME, IMPORTED TO BE LIBERATED FOR STOCKING",flag not enforced,flag not enforced,AP0100 Live Animal,Refer to Chapter 1 and 3 codes,VS,Refer to Chapter 1 and 3 descriptions,N/A
9812.00.20.00,ARTICLES FOR EXHIBITION UNDER BOND,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,Multiple Codes May Apply,PPQ,Multiple Descriptions May Apply,N/A
9811.00.60,"Any sample (except samples covered by heading 9811.00.20
or 9811.00.40), valued not over $1 each, or marked, torn,
perforated or otherwise treated so that it is unsuitable for sale
or for use otherwise than as a sample, to be used in the United
States only for soliciting orders for products of foreign
countries",AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9810.00.70.00,WILD ANIMALS IMPORTED FOR SCIENTIFIC/EDUCATIONAL PURPOSES,flag not enforced,flag not enforced,AP0100 Live Animal,Refer to Chapter 1 and 3 codes,VS,Refer to Chapter 1 and 3 descriptions,N/A
9808.00.60.00,"PLANTS, SEEDS & OTHR PLANTING; D.AGRICULTURE/US BOT GARDEN",AQ2,APHIS Data Is Required,AP0400 Propagative Material,"402, 403",PPQ,"Plants for Planting or Propagation (whole), Seeds for Planting (For Sowing)",N/A
9804.00.55,"Articles imported by or for the account of any person arriving
in the United States who is a returning resident thereof
(including American citizens who are residents of American
Samoa, Guam or the Virgin Islands of the United States): Game animals (including birds and fish) killed abroad by
him and imported by him for noncommercial purposes",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 316",VS,"Edible Meat and poultry: Meat and Meat Products, Animal Consumption Products, Trophies (for Personal Display)",N/A
9801.00.10.98,"Products Of The U.S. When Returned After Having Been Exported, Without Having Been Advanced In Value Or Improved In Condition By Any Process, Others",AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9801.00.10.63,OTHER US GOODS RETURNED:IN 8701; NOT ADVANCED IN VALUE,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
9801.00.10.28,OTHER US GOODS RETURNED:IN CHAPTER 30; NOT ADVANCED IN VALUE,AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,Refer to Chapter 30 codes,VS,Refer to Chapter 30 descriptions,N/A
9801.00.10.15,OTHER US GOODS RETURNED:CHAPTER 2 OR 16;N/ ADVANCED IN VALUE,AQ1,APHIS Data May Be Required,AP0300 Animal Product,Refer to Chapter 2 or 16 codes,VS,Refer to Chapter 2 or 16 descriptions,N/A
9801.00.10.10,ARTICLES EXPORTED FOR TEMP USE ABROAD: US GOODS N/IMPROVED,AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9705.29.00.00,"Other; Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest:",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.22.00.00,"Extinct or endangered species and parts thereof; Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest:",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.90,"Other; Collections and collectors' pieces of archaeological, ethnographic or historical interest",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.20,Ethnographic pieces of a kind described in statistical note 1 to this chapter ,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.10,Archaeological pieces of a kind described in statistical note 1 to this chapter ,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9703.90.00.00,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL;other",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9703.10.00.00,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL;Of an age exceeding 100 years",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9603.90.80.50,BROOMS OTHER: OTHER,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.40,BROOMS OTHER: OTHER BROOMS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.30,"BROOMS OTHER: Push brooms, 41 cm or less in width",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
9603.90.80.20,BROOMS OTHER: UPRIGHT BROOMS ,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.10,BROOMS OTHER: WHISKBROOMS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.90.00,BROOMS OTHER,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.60.00,"Other brooms, wholly or in part of broom corn: Valued over 0.96 each",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.50.00,"Other brooms, wholly or in part of broom corn: Valued not over 0.96 each: OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.40.00,"Other brooms, wholly or in part of broom corn: Valued not over 0.96 each: withdrawal from warehouse for consumption, of 121,478 dozen brooms",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.35.00,"Whiskbrooms, wholly or in part of broom corn: Valued over 0.96 each",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.15.00,"Whiskbrooms, wholly or in part of broom corn: Valued not over 0.96 each: OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.05.00,"Whiskbrooms, wholly or in part of broom corn: Valued not over 0.96 each: withdrawal from warehouse for comsumption, of 61,655 dozen whiskbrooms",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9602.00.10.80,"Worked vegetable or mineral carving material and articles of
these materials; molded or carved articles of wax, of stearin,
of natural gums or natural resins, of modeling pastes, and other
molded or carved articles, not elsewhere specified or included;
worked, unhardened gelatin (except gelatin of heading 3503)
and articles of unhardened gelatin: Worked unhardened gelatin and articles thereof: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,314,VS,Gelatin,N/A
9602.00.10.40,UNFILLED GELATIN CAPSULES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,314,VS,Gelatin,N/A
9505.90.40.00,CONFETTI/PAPER SPIRALS/STREAMERS;PARTY FAVORS & NOISEMAKERS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.50.20,OTHER ARTICLES FOR CHRISTMAS FESTIVITIES AND PARTS & ACCESSS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.40.20,"Other, Of Plastics, Other, Articles for Christmas festivities and parts and accessories thereof",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.40.10,"Other, Of Plastics, Artificial Christmas trees, Articles for Christmas festivities and parts and accessories thereof",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.25.00,OTHER CHRISTMAS ORNAMENTS NOT OF GLASS OR WOOD,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.15.00,CHRISTMAS ORNAMENTS OF WOOD,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9403.89.30.10,"CANE, OSIER, BAMBOO OR SIMILAR MATERIAL FURNITR, HOUSEHOLD",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9403.60.80.93,"OTH, WOODEN FURNITURE PRTS, THEREOF, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9403.60.80.89,"OTHER WOODEN FURNITURE PARTS, OF TEAK",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9207.90.00.40,FRETTED STRINGED INSTRUMENTS:ELECTRICAL MUSICAL INSTRUMENTS,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9202.90.40.00,"GUITARS, OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9021.39.00.00,OTHER ORTHOPEDIC OR FRACTURE APPLIANCES:INC. PARTS & ACCS,AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,399,VS,Other Animal Products and by-products,N/A
8716.80.50.90,NONMECH. PROPELLED VEHICLE: OTHER,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8716.80.10.00,VEHICLE NOT MECHANICALLY PROPELLED:FARM WAGON AND CART,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8701.30.10.90,TRACK-LAYING TRACTOR:USED;SUITABLE FOR AGRICULTURAL,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8479.20.00.00,Machinery for the extraction or preparation of animal or fixed vegetable or microbial fats or oils,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.99.02.50,"Machine tools (including machines for nailing, stapling, glueing
or otherwise assembling) for working wood, cork, bone, hard
rubber, hard plastics or similar hard materials: Other: Other: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.96.00.51,"SPLITTING MACH TOOLS, ETC, OTH",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.95.00.91,"DRILLING/MORT MACH TOOLS,OTHER",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.92.00.91,"PLANING,ETC,MACH TOOLS, OT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.91.00.91,"SAWING MACHINE TOOLS,OTH, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.20.80.00,"SPLITTING MACH TOOLS, ETC, OTH",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.20.10.00,"SAWING MACHINE TOOLS,OTH, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8465.10.00.50,"Machine tools (including machines for nailing, stapling, glueing
or otherwise assembling) for working wood, cork, bone, hard
rubber, hard plastics or similar hard materials: Machines which can carry out different types of machining
operations without tool change between such
operations: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8453.10.00.00,"Machinery for preparing, tanning or working hides, skins or
leather or for making or repairing footwear or other articles of
hides, skins or leather, other than sewing machines; parts
thereof: Machinery for preparing, tanning or working hides, skins
or leather",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8438.90.90.90,"Machinery, not specified or included elsewhere in this chapter,
for the industrial preparation or manufacture of food or drink,
other than machinery for the extraction or preparation of animal
or fixed vegetable fats or oils; parts thereof: Parts: Other: Other",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8438.90.90.60,"Machinery, not specified or included elsewhere in this chapter,
for the industrial preparation or manufacture of food or drink,
other than machinery for the extraction or preparation of animal
or fixed vegetable fats or oils; parts thereof: Parts: Other: Of machinery for the preparation of meat or
poultry",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8438.80.00.00,"Machinery, not specified or included elsewhere in this chapter,
for the industrial preparation or manufacture of food or drink,
other than machinery for the extraction or preparation of animal
or fixed vegetable fats or oils; parts thereof: Other machinery",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8438.50.00.90,"Machinery, not specified or included elsewhere in this chapter,
for the industrial preparation or manufacture of food or drink,
other than machinery for the extraction or preparation of animal
or fixed vegetable fats or oils; parts thereof: Machinery for the preparation of meat or poultry: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8438.50.00.10,"Machinery, not specified or included elsewhere in this chapter,
for the industrial preparation or manufacture of food or drink,
other than machinery for the extraction or preparation of animal
or fixed vegetable fats or oils; parts thereof: Machinery for the preparation of meat or poultry: Meat- and poultry-packing plant machinery",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.99.00.90,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery,",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.99.00.40,BARN OR BARNYARD MACHINERY PARTS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.91.00.80,"MACHINE PARTS FOR POULTRY KEEPING,OTHER",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.80.00.90,"Other agricultural, horticultural, forestry, poultry-keeping or
bee-keeping machinery, including germination plant fitted with
mechanical or thermal equipment; poultry incubators and
brooders; parts thereof: Other machinery: Other: Other: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.80.00.40,BARN AND BARNYARD MACHINES,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.29.00.00,"Other agricultural, horticultural, forestry, poultry-keeping or
bee-keeping machinery, including germination plant fitted with
mechanical or thermal equipment; poultry incubators and
brooders; parts thereof: Poultry-keeping machinery; poultry incubators and
brooders: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8436.21.00.00,"Other agricultural, horticultural, forestry, poultry-keeping or
bee-keeping machinery, including germination plant fitted with
mechanical or thermal equipment; poultry incubators and
brooders; parts thereof: Poultry-keeping machinery; poultry incubators and
brooders: Poultry incubators and brooders",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8434.90.00.00,MILKING MACHINES AND DAIRY MACHINERY PARTS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8434.20.00.00,DAIRY MACHINERY,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8434.10.00.00,MILKING MACHINES,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8433.60.00.90,"Harvesting or threshing machinery, including straw or fodder
balers; grass or hay mowers; machines for cleaning, sorting
or grading eggs, fruit or other agricultural produce, other than
machinery of heading 8437; parts thereof: Machines for cleaning, sorting or grading eggs, fruit or
other agricultural produce: Other",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8433.60.00.10,"Harvesting or threshing machinery, including straw or fodder
balers; grass or hay mowers; machines for cleaning, sorting
or grading eggs, fruit or other agricultural produce, other than
machinery of heading 8437; parts thereof: Machines for cleaning, sorting or grading eggs, fruit or
other agricultural produce: Machines for cleaning, sorting or grading eggs",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8433.59.00.90,"HARVESTING AND THRESHING MACHINERY OTHER, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8433.59.00.10,FIELD FORAGE HARVESTERS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8433.53.00.00,ROOT OR TUBER HARVESTING MACHINES,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.81,"MACHINERY PARTS OTHER, NSPF",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.60,"SEEDERS, PLANTERS, ETC, PARTS",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.50,"HARROWS, SCARIFIERS, CULTIVATORS, ETC, PARTS",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.40,PLOW PARTS,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.20,"AG MACH PT,WHL/TIRE ASSEMBLIES",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.90.00.10,"AGR MACH PRT,RD WHL W/OUT TIRE",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.80.00.80,"MACHINERY FOR SOIL PREP, LAWN, ETC, OTHER, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.80.00.10,"MACHINERY FOR SOIL PREP, LAWN, OTHER, TOW BEHIND SWEEPERS",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.42.00.00,FERTILIZER DISTRIBUTORS,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.41.00.00,MANURE SPREADERS,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.39.00.90,"SEEDERS, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.39.00.10,"PLANTERS AND TRANSPLANTERS, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.31.00.90,"SEEDERS, No-till direct seeders, planters and transplanters ",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.31.00.10,"PLANTERS AND TRANSPLANTERS, No-till direct seeders, planters and transplanters ",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.29.00.90,"SCARIFIERS OTHER, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.29.00.80,"CULTIVATORS, OTHER, NSPF",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.29.00.60,"ROTARY TILLERS, WALK BEHIND TYPE",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.29.00.40,"CULTIVATORS, TRACTOR DRAWN OR MOUNTING",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.21.00.00,DISC HARROWS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.10.00.60,"PLOWS, OTHER, NSPF",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.10.00.40,DISC PLOWS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8432.10.00.20,MOLDBOARD PLOWS EXCEPT LISTERS,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.59.50.80,"MECHANICAL SHOVELS, EXCAVATORS ETC, OTHER, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.59.10.90,"BACKHOES, SHOVELS, ETC, OTHER, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.52.50.90,"Self-propelled bulldozers, angledozers, graders, levelers,
scrapers, mechanical shovels, excavators, shovel loaders,
tamping machines and road rollers: Machinery with a 360? revolving superstructure: Other: Used or rebuilt",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.52.10.50,"BACKHOES ETC, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.51.50.60,"FRONT-END LOADER OTHER, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.51.10.65,"Self-propelled bulldozers, angledozers, graders, levelers,
scrapers, mechanical shovels, excavators, shovel loaders,
tamping machines and road rollers: Mechanical shovels, excavators and shovel loaders: Front-end shovel loaders: Wheel-type: Used or rebuilt",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.30.00.60,"SCRAPERS, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.20.00.00,GRADERS AND LEVELERS,AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.19.00.90,"BULLDOZERS, ANGLEDOZERS, OTHER, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8429.11.00.90,"TRACK LAYING BULLDOZERS, ANGLEDOZERS, USED OR REBUILT",AQ1,APHIS Data May Be Required,AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.82.00.90,"IRRIGATION EQUIPMENT, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.82.00.20,"OTHER, IRRIGATION EQUIPMENT",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.82.00.10,"SELF-PROPELLED, CENTER PIVOT IRRIGATION EQUIPMENT",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.49.00.00,"Agricultural or horticultural sprayers, Other than Portable sprayers",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.41.90.00,"Agricultural or horticultural sprayers, Portable sprayers, Other",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8424.41.10.00,"Agricultural or horticultural sprayers, Portable sprayers, Sprayers",AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
8306.29.00.00,"STATUETTES AND OTHER ORNAMENTS OTHER,AND PARTS THEREOF",AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
7323.99.90.80,"HOUSEHOLD ART. N/PLATED W/PREC METALS,N/CKWARE, NOT F/FOOD",AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
6913.90.50.00,ORNAMENTAL ARTICLES OTHER MATERIALS,AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
6703.00.60.00,"WOOL OR OTHER ANIMAL HAIR FOR WIGS, OTHER THAN HUMAN HAIR",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
6702.90.10.00,"Artificial flowers, foliage and fruit and parts thereof; articles
made of artificial flowers, foliage or fruit: Of other materials: Of feathers",AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
6701.00.60.00,"Skins and other parts of birds with their feathers or down,
feathers, parts of feathers, down and articles thereof (other
than goods of heading 0505 and worked quills and scapes): Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
6701.00.30.00,"Skins and other parts of birds with their feathers or down,
feathers, parts of feathers, down and articles thereof (other
than goods of heading 0505 and worked quills and scapes): Articles of feathers or down",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.40.00.00,"COARSE ANIMAL HAIR, CARDED OR COMBED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.39.00.00,"FINE ANIMAL HAIR, CARDED OR COMBED,OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.31.00.00,"FINE ANIMAL HAIR, CARDED OR COMBED,OF CASHMERE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.29.00.00,OTHER WOOL TOPS AND COMBED WOOL,AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.21.00.00,COMBED WOOL IN FRAGMENTS,AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5105.10.00.00,CARDED WOOL,AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5104.00.00.00,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR,AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5103.30.00.00,"WASTE OF COARSE ANIMAL HAIR,NOT GARNETTED STOCK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5103.20.00.00,"OTHER WASTE OF WOOL OR OF FINE ANIMAL HAIR,NOT GARNET STOCK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5103.10.00.00,"WASTE OF WOOL NOILS OR FINE ANIMAL HAIR, NOT GARNETTED STOCK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
5102.20.00.00,"COARSE ANIMAL HAIR, NOT CARDED OR COMBED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,315,VS,Hides and Related By Product,N/A
