10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
2937.23.25.00,ESTRADIOL BENZOATE; AND ESTRADOIL CYPIONATE,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.23.10.50,HORMONES OTHER; OTHER; OTHER; OTHER,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.23.10.20,PROGESTERONE,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.23.10.10,ESTROGENS,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.22.00.00,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Steroidal hormones, their derivatives and structural
analogues: Halogenated derivatives of adrenal cortical
hormones",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.21.00.40,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Steroidal hormones, their derivatives and structural
analogues: Cortisone, hydrocortisone, prednisone
(dehydrocortisone), and prednisolone
(dehydrohydrocortisone): Prednisolone",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.21.00.30,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Steroidal hormones, their derivatives and structural
analogues: Cortisone, hydrocortisone, prednisone
(dehydrocortisone), and prednisolone
(dehydrohydrocortisone): Prednisone",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.21.00.20,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Steroidal hormones, their derivatives and structural
analogues: Cortisone, hydrocortisone, prednisone
(dehydrocortisone), and prednisolone
(dehydrohydrocortisone): Hydrocortisone",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.21.00.10,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Steroidal hormones, their derivatives and structural
analogues: Cortisone, hydrocortisone, prednisone
(dehydrocortisone), and prednisolone
(dehydrohydrocortisone): Cortisone",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.19.00.00,"POLYPEPTIDE HORMONES, PROTEIN HORMONES AND GLYCOPRO, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.12.00.00,INSULIN AND ITS SALTS,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2937.11.00.00,"Hormones, prostaglandins, thromboxanes and leukotrienes,
natural or reproduced by synthesis; derivatives and structural
analogues thereof, including chain modified polypeptides, used
primarily as hormones: Polypeptide hormones, protein hormones and glycoprotein
hormones, their derivatives and structural analogues: Somatotropin, its derivatives and structural
analogues ",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2936.90.01.50,"Provitamins and vitamins, natural or reproduced by synthesis
(including natural concentrates), derivatives thereof used
primarily as vitamins, and intermixtures of the foregoing,
whether or not in any solvent: Other, including provitamins and natural concentrates: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2936.90.01.10,"Provitamins and vitamins, natural or reproduced by synthesis
(including natural concentrates), derivatives thereof used
primarily as vitamins, and intermixtures of the foregoing,
whether or not in any solvent: Other, including provitamins and natural concentrates: Provitamins",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2936.29.50.50,"VITAMINS AND THEIR DERIVATIVES, UNMIXED; OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2936.29.50.20,VITAMINS D AND THEIR DERIVATIVES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2936.21.00.00,VITAMINS A AND THEIR DERIVATIVES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2934.99.90.01,HETEROCYCLIC COMPOUND:OTHER- NSPF,AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2933.59.95.00,PYRIMIDINE/PIPERAZINE RING:OTHER NSPF,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
