htsCode,description,species,program
0304.85.0000,Frozen Toothfish (Dissostichus spp.) Fillets,Toothfish,AMLR
0304.92.1000,Frozen Toothfish (Dissostichus spp.) Other Meat; In bulk or in immediate containers weighing with their contents over 6.8 kg each,Toothfish,AMLR
0304.92.9000,Frozen Toothfish (Dissostichus spp.) Other Meat,Toothfish,AMLR
0301.94.0100,"Live Atlantic and Pacific Bluefin Tunas (Thunnus thynnus, Thunnus orientalis)",Tuna,SIMP
0301.95.0000,Live Southern Bluefin Tuna (Thunnus maccoyii),Tuna,SIMP
0302.31.0000,Fresh or Chilled Albacore or Longfinned Tuna (Thunnus alalunga),Tuna,SIMP
0302.32.0000,Fresh or Chilled Yellowfin Tuna (Thunnus albacares),Tuna,SIMP
0302.33.0000,Fresh or Chilled Skipjack Tuna (stripe-bellied bonito) (Katsuwonus pelamis),Tuna,SIMP
0302.34.0000,Fresh or Chilled Bigeye Tuna (Thunnus obesus),Tuna,SIMP
0302.35.0100,"Fresh or Chilled Atlantic and Pacific Bluefin Tunas (Thunnus thynnus, Thunnus orientalis)",Tuna,"SIMP, HMS"
0302.36.0000,Fresh or Chilled Southern Bluefin Tuna (Thunnus maccoyii),Tuna,"SIMP, HMS"
0302.39.0200,Fresh or Chilled NSPF Tuna (of the genus Thunnus),Tuna,SIMP
0303.41.0000,Frozen Albacore or Longfinned Tunas (Thunnus alalunga),Tuna,"SIMP, TTVP"
0303.42.0020,Frozen Yellowfin Tuna (Thunnus albacares); Whole Fish,Tuna,"SIMP, TTVP"
0303.42.0040,Frozen Yellowfin Tuna (Thunnus albacares); Eviscerated; Head on,Tuna,"SIMP, TTVP"
0303.42.0060,Frozen Yellowfin Tuna (Thunnus albacares),Tuna,"SIMP, TTVP"
0303.43.0000,Frozen Skipjack Tuna (stripe-bellied bonito) (Katsuwonus pelamis),Tuna,"SIMP, TTVP"
0303.44.0000,Frozen Bigeye Tuna (Thunnus obesus),Tuna,"SIMP, HMS, TTVP"
0303.45.0110,Frozen Atlantic Bluefin Tuna (Thunnus thynnus),Tuna,"SIMP, HMS, TTVP"
0303.45.0150,Frozen Pacific Bluefin Tuna (Thunnus orientalis),Tuna,"SIMP, HMS, TTVP"
0303.46.0000,Frozen Southern Bluefin Tuna (Thunnus maccoyii),Tuna,"SIMP, HMS, TTVP"
0303.49.0200,Frozen NSPF Tuna (of the genus Thunnus),Tuna,"SIMP, HMS, TTVP"
0304.87.0000,Frozen NSPF Tuna (of genus Thunnus and of fish of the genus Euthynnus (Katsuwonus) pelamis) Fillets,Tuna,"SIMP, TTVP, HMS"
0304.99.1190,Frozen NSPF Tuna (of genus Thunnus and of fish of the genus Euthynnus (Katsuwonus) pelamis) Other Meat; In bulk or in immediate containers weighing with their contents over 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.1010,NSPF Tunas and skipjack; In airtight containers; In oil; In foil or other flexible containers weighing with their contents not more than 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.1091,Albacore Tuna; In airtight containers; In oil,Tuna,"SIMP, TTVP"
1604.14.1099,NSPF Tunas and skipjack; In airtight containers; In oil,Tuna,"SIMP, TTVP"
1604.14.2251,Albacore Tuna (Thunnus alalunga); In airtight containers; Not in oil;  In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.2259,Albacore Tuna (Thunnus alalunga); In airtight containers; Not in oil;  Not in foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.2291,NSPF Tunas and skipjack; In airtight containers; Not in oil; In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.2299,NSPF Tunas and skipjack; In airtight containers; Not in oil; Not in foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.3051,Albacore Tuna (Thunnus alalunga); In airtight containers; Not in oil; In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each; Over Quota,Tuna,"SIMP, TTVP"
1604.14.3059,Albacore Tuna (Thunnus alalunga); In airtight containers; Not in oil; Not in foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each; Over Quota,Tuna,"SIMP, TTVP"
1604.14.3091,NSPF Tunas and skipjack; In airtight containers; Not in oil; In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each; Over Quota,Tuna,"SIMP, TTVP"
1604.14.3099,NSPF Tunas and skipjack; In airtight containers; Not in oil; Not in foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each; Over Quota,Tuna,"SIMP, TTVP"
1604.14.4000,Prepared or preserved NSPF Tunas and skipjack; Not in airtight containers; Not in oil; In bulk or in immediate containers weighing with their contents over 6.8 kg each,Tuna,"SIMP, TTVP"
1604.14.5000,Prepared or preserved NSPF Tunas and skipjack; Not in airtight containers; Not in oil; Not in bulk or in immediate containers weighing with their contents over 6.8 kg each,Tuna,"SIMP, TTVP"
