htsCode,description,species,program
1605.10.6090,Prepared or preserved NSPF Crab; Other than crabmeat; Not in prepared meals; Not in airtight containers,NSPF Crab,SIMP
0306.19.0161,Frozen NSPF Crustaceans; Not Freshwater Crawfish or Antarctic Krill,NSPF Crustaceans,SIMP
0306.39.0100,"Live, Fresh, or Chilled NSPF Crustaceans",NSPF Crustaceans,SIMP
0306.99.0100,"Dried, Salted, in Brine, or Smoked NSPF Crustaceans",NSPF Crustaceans,SIMP
0309.90.1061,"Frozen flours, meals and pellets of NSPF Crustaceans; Not Freshwater Crawfish or Antarctic Krill",NSPF Crustaceans,SIMP
0309.90.2000,"Live, Fresh, or Chilled flours, meals and pellets of NSPF Crustaceans",NSPF Crustaceans,SIMP
0309.90.3000,"Flours, meals and pellets of NSPF Crustaceans; Other than Live, Fresh, Chilled, or Frozen",NSPF Crustaceans,SIMP
1605.40.0500,Prepared meals of NSPF Crustaceans,NSPF Crustaceans,SIMP
1605.40.1090,Prepared or preserved NSPF Crustaceans; Other than prepared meals; Not Peeled freshwater crawfish tail meat,NSPF Crustaceans,SIMP
0301.19.0000,Live Ornamental NSPF Fish; Not freshwater,NSPF Fish,SIMP
0301.99.0390,Live NSPF Fish,NSPF Fish,SIMP
0302.49.0000,"Fresh or Chilled Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jacks, crevalles (Caranx spp.), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",NSPF Fish,SIMP
0302.59.1100,"Fresh or Chilled NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae; Scaled; In immediate containers weighing with their contents 6.8 kg or less ",NSPF Fish,SIMP
0302.59.5090,"Fresh or Chilled NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae; Not scaled; Not in immediate containers weighing with their contents 6.8 kg or less ",NSPF Fish,SIMP
0302.89.1140,Fresh or Chilled NSPF Fish; Scaled; In immediate containers weighing with their contents 6.8 kg or less ,NSPF Fish,SIMP
0302.89.5077,Fresh or Chilled NSPF Fish; Not scaled; Not in immediate containers weighing with their contents 6.8 kg or less ,NSPF Fish,SIMP
0302.91.4090,"Fresh or Chilled NSPF Fish livers, roes and milt",NSPF Fish,SIMP
0302.99.0000,"Fresh or Chilled NSPF Fish fins, heads, tails, maws",NSPF Fish,SIMP
0303.59.0000,"Frozen Indian Mackerels (Rastrelliger spp.), Seerfishes (Scomberomorus spp.), Jacks, Crevalles (Caranx spp.), Silver Pomfrets (Pampus spp.), Pacific Saury (Cololabis saira), Scads (Decapterus spp.), Capelin  (Mallotus villosus), Kawakawa (Euthynnus affinis), (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",NSPF Fish,SIMP
0303.69.0000,"Frozen NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",NSPF Fish,SIMP
0303.89.0080,Frozen NSPF Fish  ,NSPF Fish,SIMP
0303.91.4095,"Frozen NSPF Fish livers, roes and milt",NSPF Fish,SIMP
0303.99.0000,"Frozen NSPF Fish fins, heads, tails, maws",NSPF Fish,SIMP
0304.44.0090,"Fresh or Chilled Fillets of NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",NSPF Fish,SIMP
0304.49.0190,Fresh or Chilled NSPF Fish Fillets,NSPF Fish,SIMP
0304.53.0090,"Fresh or Chilled Other Fish Meat of NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",NSPF Fish,"SIMP, TTVP"
0304.59.0091,Fresh or Chilled Other Fish Meat of NSPF Fish,NSPF Fish,SIMP
0304.79.1090,"Frozen Fillets of NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae; Skinned",NSPF Fish,SIMP
0304.79.5000,"Frozen Fillets of NSPF Fish of Families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae; Not Skinned",NSPF Fish,SIMP
0304.89.1090,Frozen Fillets of NSPF Fish; Skinned,NSPF Fish,"SIMP, TTVP"
0304.89.5091,Frozen Fillets of NSPF Fish; Not skinned,NSPF Fish,SIMP
0304.95.1005,"Frozen Surimi of NSPF Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma); In bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0304.95.1015,"Frozen Other Fish Meat of NSPF Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma); Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0304.95.1090,"Frozen Other Fish Meat of NSPF Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma); Not Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0304.95.9000,"Frozen Other Fish Meat of NSPF Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma); Not in bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0304.99.1104,Frozen Surimi of NSPF Fish; In bulk or in immediate containers weighing with their contents over 6.8 kg each,NSPF Fish,"SIMP, TTVP"
0304.99.1109,Frozen Other Fish Meat of NSPF Fish; Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each,NSPF Fish,"SIMP, TTVP"
0304.99.1194,Frozen Other Fish Meat of NSPF Fish; Not Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each,NSPF Fish,"SIMP, TTVP"
0304.99.9190,Frozen Other Fish Meat of NSPF Ocean Fish; Not in bulk or in immediate containers weighing with their contents over 6.8 kg each,NSPF Fish,"SIMP, TTVP"
0304.99.9192,Frozen Other Fish Meat of NSPF Fish; Not in bulk or in immediate containers weighing with their contents over 6.8 kg each,NSPF Fish,"SIMP, TTVP"
0305.20.4065,"Dried, Salted, in Brine, or Smoked Livers, roes and milt of NSPF Fish",NSPF Fish,"SIMP, TTVP"
